Adsorbate,temp/K,pressure/Pa,ZPE/eV,TS/eV,deltaH/eV,total correction/eV,state energy/eV,G/eV,Eads/eV
FF,293.15,101325.0,1.58490344342,0.7546849038090357,0.3041687989825732,1.1360386411543004,-44482.82377817304,-44481.68773953189,-1.25934543038602
IS,293.15,101325.0,1.817268770812,0.8317501724344867,0.3260875749401748,1.3132574758783448,-44499.47057422985,-44498.15731675397,
FA,293.15,101325.0,1.969803123156,1.0111388091346876,0.3629269529483281,1.3232425695314305,-44515.9344591739,-44514.61121660437,-1.78031866720994
IS1,293.15,101325.0,2.1331112012760003,1.0392248610192305,0.380143919843249,1.4756815626606112,-44532.13009633666,-44530.654414774,
IS2,293.15,101325.0,2.224933896196001,1.219828401812236,0.4299703050783137,1.436727102031,-44548.11016668519,-44546.67343958316,
IS3,293.15,101325.0,2.400539592748,1.6720711935836068,0.4915815521162585,1.221701253838546,-44564.29846507378,-44563.07676381994,
THFA,293.15,101325.0,2.4884031823200004,1.804488141054045,0.5222875227191253,1.2078538665446104,-44580.78560296169,-44579.577749095144,-1.1077917640068335
H,293.15,101325.0,0.306017120508,0.0002505631974676,0.0002218758745584,0.307639735743578,-42709.40316030936,-42709.09552057362,
H2,293.15,101325.0,0.503020117336,0.0066038526441607,0.0051743184885708,0.5032418857445009,-42725.01445572512,-42724.511213839374,
MF,293.15,101325.0,1.7666550209000005,0.9021093518331154,0.335708807760966,1.2019057793950196,-44075.776114139226,-44074.57420835983,-1.53949811864004
FU,293.15,101325.0,2.746058336076,2.7249585727801398,0.785850253465469,0.8086013193242252,-46272.43960856583,-46271.631007246506,-2.00556447996496
HF,293.15,101325.0,3.066769901492,3.308526533249136,0.8878859853066388,0.6477806561088073,-46304.888616876335,-46304.240836220226,-1.6886613304741331
