Adsorbate,temp/K,pressure/Pa,ZPE/eV,TS/eV,deltaH/eV,total correction/eV,state energy/eV,G/eV,Eads/eV
FF,293.15,101325.0,1.53663327312,0.7013473650811286,0.29693953221431,1.1340850555570796,-44472.7507804767,-44471.616695421144,-2.14965034488705
IS,293.15,101325.0,1.7868116183719998,0.7690379561322757,0.3139254055204219,1.3335586830653483,-44489.3441197699,-44488.010561086834,
FA,293.15,101325.0,1.940893856308,0.9608825918170087,0.3531375921083963,1.3350084718986182,-44505.451297485706,-44504.11628901381,-2.260459589859238
IS1,293.15,101325.0,1.99604287498,1.206433658150048,0.4158052441998734,1.2072740763251204,-44521.38708307573,-44520.179808999404,
IS2,293.15,101325.0,2.19108424766,1.2399277619731672,0.4336241460041492,1.3866402469939203,-44537.63156412831,-44536.24492388131,
IS3,293.15,101325.0,2.290783549252,1.5105810765375929,0.4841847759234952,1.266246863939159,-44553.81400458623,-44552.54775772229,
THFA,293.15,101325.0,2.325764532344,1.922689498337634,0.5565969808303635,0.9615316301424172,-44569.94918907466,-44568.987657444515,-1.2346804878179682
H,293.15,101325.0,0.325071931008,0.0001734370852826,0.0001541753808851,0.3269122846104437,-42698.573926826255,-42698.247014541645,
H2,293.15,101325.0,0.597818647712,0.0014294443085437,0.0012245977995917,0.5994734165069531,-42714.9545246632,-42714.35505124669,
MF,293.15,101325.0,1.844856738692,0.7428605910385079,0.3045948372891871,1.4084506002473065,-44065.475563422224,-44064.06711282198,-2.202250012480363
FU,293.15,101325.0,2.759278813984,2.320951879289073,0.7449634522054112,1.1851500022021355,-46262.57654383882,-46261.39139383662,-3.1058023637961014
HF,293.15,101325.0,3.084970731392,2.8991196394113348,0.8349192507012049,1.0226299579808256,-46295.06267854513,-46294.04004858715,-2.8260256101129926
