Adsorbate,temp/K,pressure/Pa,ZPE/eV,TS/eV,deltaH/eV,total correction/eV,state energy/eV,G/eV,Eads/eV
4-PP,293.15,101325.0,3.023330823216,2.6578920485327324,0.743814613619179,1.1109046908604796,-44849.02921628697,-44847.918311596106,-1.297076463139092
IS1,293.15,101325.0,3.2715247156680003,2.529304703531396,0.7334895051972126,1.4773608198956936,-44865.17509512136,-44863.697734301466,
IS2,293.15,101325.0,3.4298633670400003,2.601294154270016,0.7531828491992201,1.5834033645296586,-44881.66824373185,-44880.08484036732,
IS3,293.15,101325.0,3.492532289268,2.9912294386364,0.8171822690856061,1.320136422276846,-44897.81672642358,-44896.496590001305,
IS4,293.15,101325.0,3.615576303988,3.236592935946328,0.8611354605236556,1.2417701311278506,-44913.997489435744,-44912.755719304616,
IS5,293.15,101325.0,3.755860732184,3.2471965481949776,0.874096129933605,1.3844116164837033,-44930.07666976687,-44928.69225815039,
4-PCOL,293.15,101325.0,3.826874756144,3.636918388530428,0.9294831405059084,1.121090810680471,-44946.33999837631,-44945.21890756563,-1.117802560016571
H,293.15,101325.0,0.306017120508,0.0002505631974676,0.0002218758745584,0.307639735743578,-42709.40316030936,-42709.09552057362,
H2,293.15,101325.0,0.503020117336,0.0066038526441607,0.0051743184885708,0.5032418857445009,-42725.01445572512,-42724.511213839374,
