Adsorbate,temp/K,pressure/Pa,ZPE/eV,TS/eV,deltaH/eV,total correction/eV,state energy/eV,G/eV,Eads/eV
4-PP,293.15,101325.0,3.132712366388,2.167009112949837,0.6717918572321651,1.6393547259722254,-44839.57732046821,-44837.93796574224,-2.808483255226747
IS1,293.15,101325.0,3.219435358832,2.50773078950881,0.732752317446284,1.4463165020715678,-44855.37149121375,-44853.92517471168,
IS2,293.15,101325.0,3.367961180628,2.5631658560996957,0.7509960604802473,1.5576510003083968,-44871.21811094929,-44869.66045994898,
IS3,293.15,101325.0,3.4361311896560003,3.005917351757012,0.8264972853794461,1.2585707385806018,-44887.24802466175,-44885.98945392317,
IS4,293.15,101325.0,3.5357452069280004,3.1612201541905955,0.8607421158449142,1.2371267838825588,-44903.20422844971,-44901.967101665825,
IS5,293.15,101325.0,3.626762471684,3.473058172767056,0.9179351620477972,1.073499076272128,-44918.91629700785,-44917.842797931575,
4-PCOL,293.15,101325.0,3.716728325948,3.865802438778444,0.9677763805811992,0.8205618830543244,-44935.25342697204,-44934.43286508899,-0.9945337665849364
H,293.15,101325.0,0.325071931008,0.0001734370852826,0.0001541753808851,0.3269122846104437,-42698.573926826255,-42698.247014541645,
H2,293.15,101325.0,0.597818647712,0.0014294443085437,0.0012245977995917,0.5994734165069531,-42714.9545246632,-42714.35505124669,
