Adsorbate,temp/K,pressure/Pa,ZPE/eV,TS/eV,deltaH/eV,total correction/eV,state energy/eV,G/eV,Eads/eV
4-PP,293.15,101325.0,3.0671588695440004,2.261503778794048,0.698450043615594,1.5066087961240555,-44819.38336038554,-44817.876751589414,-3.158086407485825
IS1,293.15,101325.0,3.2069443203599994,2.4161695667277376,0.7270276453491533,1.5203060607382213,-44835.32999324951,-44833.80968718877,
IS2,293.15,101325.0,3.3608425745400003,2.408007605626709,0.743073545905645,1.698412176578131,-44851.13956169266,-44849.44114951608,
IS3,293.15,101325.0,3.453661658744,2.6698584667079275,0.7952735053186188,1.581580359110376,-44866.84255539033,-44865.26097503122,
IS4,293.15,101325.0,3.553853830912,3.0293135230795616,0.8516705335714505,1.378714503160154,-44883.18907096899,-44881.81035646583,
IS5,293.15,101325.0,3.64812239286,3.2876115063042337,0.8979248027389986,1.2609393510501832,-44898.98603060926,-44897.72509125821,
4-PCOL,293.15,101325.0,3.663610583732,3.791310484757463,0.9782358854354244,0.8530396461719647,-44914.90172412977,-44914.0486844836,-1.1863941592528136
H,293.15,101325.0,0.339106388192,0.0001465397441273,0.0001303029275732,0.3415938131365692,-42678.09879056169,-42677.75719674856,
H2,293.15,101325.0,0.627775602652,0.0034202027434825,0.0027751055822591,0.6296341672496055,-42694.23984985184,-42693.61021568459,
