Molecule,Ads State Converged Energy / eV,Adsorption Energy / eV,Starting Config,Final Config,Count of C bonds,avg C-Pt length,std C-Pt length,Count of O bonds,avg O-Pt length,std O-Pt length,Count of H bonds,avg H-Pt length,std H-Pt length,ring height avg,ring height std
FF,-44472.7507804767,-2.14965034488705,hollow 2,hollow,4,2.119907955748335,0.012329375676989255,0,0.0,0.0,0,0.0,0.0,2.117513071250002,0.25916509647107977
FA,-44505.451297485706,-2.260459589859238,hollow,hollow,4,2.1194431476528948,0.013080164181333035,0,0.0,0.0,0,0.0,0.0,2.288326507499999,0.4243132774971917
MF,-44065.475563422224,-2.202250012480363,hollow,hollow,4,2.119144659909816,0.014734463053944432,0,0.0,0.0,0,0.0,0.0,2.3028978797500006,0.4356837437704415
THFA,-44569.94918907466,-1.2346804878179682,hollow,atop,0,0.0,0.0,1,2.5240533823083826,0.0,1,1.8815780609671553,0.0,3.378231815374999,0.20409453696406624
FU,-46262.57654383882,-3.1058023637961014,atop 1,hollow,6,2.1443346710631324,0.051118634318847285,1,2.4693906991992125,0.0,0,0.0,0.0,0.0,0.0
HF,-46295.06267854513,-2.8260256101129926,bridge 3,hollow,7,2.187227885084256,0.07566124467470255,0,0.0,0.0,0,0.0,0.0,0.0,0.0
