Molecule,Ads State Converged Energy / eV,Adsorption Energy / eV,Starting Config,Final Config,Count of C bonds,avg C-Ru length,std C-Ru length,Count of O bonds,avg O-Ru length,std O-Ru length,Count of H bonds,avg H-Ru length,std H-Ru length,ring height avg,ring height std
4-PP,-130848.1152311159,-2.553417348550284,bridge 1,hcp,11,2.492049878558473,0.21479588012116843,1,2.6067822124642843,0.0,0,0.0,0.0,3.1038673706249966,1.204864829986347
4-PCOL,-130944.49309975348,-1.4412299936666386,bridge 1,bridge,0,0.0,0.0,1,2.3414902694949613,0.0,2,2.1484497235072197,0.1484945041473995,3.52667671083333,0.33772951208195695
PC,-130504.19711055946,-1.0755730773234973,bridge 1,hcp,0,0.0,0.0,0,0.0,0.0,3,2.1214127871090267,0.013679415167855508,3.4703476264583326,0.21738358652491457
