Molecule,Ads State Converged Energy / eV,Adsorption Energy / eV,Starting Config,Final Config,Count of C bonds,avg C-Ru length,std C-Ru length,Count of O bonds,avg O-Ru length,std O-Ru length,Count of H bonds,avg H-Ru length,std H-Ru length,ring height avg,ring height std
FF,-130481.83537013922,-2.4412634530453943,fcc 1,bridge,8,2.4302865330280516,0.21095896898925703,1,2.03984202331984,0.0,1,2.351507310896501,0.0,2.221481119249999,0.24142540631232978
FA,-130513.7037075184,-1.7198930681915954,fcc 1,bridge,5,2.3749462231761074,0.1560996114440145,0,0.0,0.0,1,2.1583948940567232,0.0,2.6114421951249973,0.4959778542849011
MF,-130073.63482208508,-1.5685321209748508,fcc,hcp,6,2.382373432542449,0.23821944280740456,0,0.0,0.0,0,0.0,0.0,2.371214579,0.4027324820822038
THFA,-130578.71723115769,-1.2097460164659424,fcc 1,hcp,0,0.0,0.0,1,2.2915098833596774,0.0,2,2.2041992869076195,0.11667611610249318,3.6418259680000027,0.4028442268741016
FU,-132271.99261346378,-3.7288954343966902,bridge 2,fcc,14,2.410402938705554,0.23376288869382625,1,2.0306791632076666,0.0,1,2.319282535627898,0.0,0.0,0.0
HF,-132303.39650204507,-2.36687255569268,atop 2,fcc,5,2.327952634003796,0.24637967893254775,2,2.2873188077786812,0.09468616498753257,0,0.0,0.0,0.0,0.0
