Molecule,Ads State Converged Energy / eV,Adsorption Energy / eV,Starting Config,Final Config,Count of C bonds,avg C-Pt length,std C-Pt length,Count of O bonds,avg O-Pt length,std O-Pt length,Count of H bonds,avg H-Pt length,std H-Pt length,ring height avg,ring height std
4-PP,-44839.57732046821,-2.808483255226747,atop 2,hollow,7,2.3738136595605517,0.2372128382965393,0,0,0,0,0.0,0.0,2.7296322662500003,0.6058573864319964
4-PCOL,-44935.25342697204,-0.9945337665849364,atop 2,hollow,0,0.0,0.0,0,0,0,2,1.9852829614116572,0.0007843462982577432,3.3383611475000023,0.2691532474173737
PC,-44495.4551406557,-1.1265797279265826,atop 2,hollow,0,0.0,0.0,0,0,0,2,2.0604610568213575,0.0031903310367908944,3.3629596545833333,0.2303391823629562
