Molecule,Ads State Converged Energy / eV,Adsorption Energy / eV,Starting Config,Final Config,Count of C bonds,avg C-Pt length,std C-Pt length,Count of O bonds,avg O-Pt length,std O-Pt length,Count of H bonds,avg H-Pt length,std H-Pt length,ring height avg,ring height std
4-PP,-44819.38336038554,-3.158086407485825,hollow 3,hollow,6,2.3192220718188525,0.23112021676368547,0,0,0,0,0.0,0.0,2.839456311666668,1.0347165710837158
4-PCOL,-44914.90172412977,-1.1863941592528136,hollow 3,hollow,0,0.0,0.0,0,0,0,4,1.9943881080858412,0.05903544618778198,3.119095660416667,0.24981859590531177
PC,-44475.02469269446,-1.2396950016191113,hollow 3,hollow,0,0.0,0.0,0,0,0,3,2.08461277991448,0.09056426165399252,3.1279507972916676,0.27203698804990467
