Molecule,Ads State Converged Energy / eV,Adsorption Energy / eV,Starting Config,Final Config,Count of C bonds,avg C-Pt length,std C-Pt length,Count of O bonds,avg O-Pt length,std O-Pt length,Count of H bonds,avg H-Pt length,std H-Pt length,ring height avg,ring height std
FF,-44452.810479472144,-2.7529125752625987,long bridge 2,fcc,4,2.149457122295874,0.03348330199746786,1,2.0894109475281413,0.0,0,0.0,0.0,2.040001581250001,0.07563337897324474
FA,-44485.08701305195,-2.439738391032733,long bridge 2,fcc,3,2.169569251587053,0.07493152758198278,0,,,1,1.9475144206134583,0.0,2.404930470874998,0.3079204868534785
MF,-44044.93272006444,-2.2029698896294576,long bridge 2,fcc,3,2.169385839090738,0.08483064430343637,0,0.0,0.0,1,2.019962345156843,0.0,2.450486384125,0.3526961236686401
THFA,-44549.27911753105,-1.1081721791415475,long bridge 2,fcc,0,0.0,0.0,1,2.4555951665151055,0.0,2,2.2055824811983786,0.039173365706746344,3.066129206374999,0.3191598682562557
FU,-46243.3575096798,-4.4303314397111535,short bridge 1,fcc,6,2.1441584413320247,0.07582672488401741,1,2.0864535544548564,0.0,0,0.0,0.0,0.0,0.0
HF,-46275.96811701115,-4.27502731106506,hollow 2,long bridge,7,2.157892581627841,0.11700995160565932,0,0.0,0.0,0,0.0,0.0,0.0,0.0
