Molecule,Ads State Converged Energy / eV,Adsorption Energy / eV,Starting Config,Final Config,Count of C bonds,avg C-Pt length,std C-Pt length,Count of O bonds,avg O-Pt length,std O-Pt length,Count of H bonds,avg H-Pt length,std H-Pt length,ring height avg,ring height std
FF,-44482.82377817304,-1.25934543038602,atop 2,bridge,4,2.2921467454851423,0.22257324895189246,0,0,0,0,0.0,0.0,2.338513657749999,0.3238647144788679
FA,-44515.9344591739,-1.78031866720994,atop 2,bridge,3,2.1720065140703304,0.08824709058749829,0,0,0,0,0.0,0.0,2.6117557242499956,0.4836859944089838
MF,-44075.776114139226,-1.53949811864004,atop 2,bridge,3,2.174076387981919,0.09058841456581967,0,0,0,0,0.0,0.0,2.621461607375,0.49217779493873215
THFA,-44580.78560296169,-1.1077917640068335,atop 2,fcc,0,0.0,0.0,0,0,0,1,1.8623224574965151,0.0,3.405348308999997,0.21306037736431016
FU,-46272.43960856583,-2.00556447996496,atop 2,hcp,3,2.169601143589458,0.05044718791507809,0,0,0,0,0.0,0.0,0.0,0.0
HF,-46304.888616876335,-1.6886613304741331,fcc 1,bridge,1,2.1798398614894805,0.0,0,0,0,0,0.0,0.0,0.0,0.0
