State,Surface,Unbiased,-2.0V vs. RHE,-1.5V vs. RHE,-1.0V vs. RHE,-0.5V vs. RHE,0.0V vs. RHE,0.5V vs. RHE,1.0V vs. RHE
ref,Pt100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF*,Pt100,-2.326246940836427,-2.326246940836427,-2.326246940836427,-2.326246940836427,-2.326246940836427,-2.326246940836427,-2.326246940836427,-2.326246940836427
(FF+H)*,Pt100,-2.842058678055764,-4.842058678055764,-4.342058678055764,-3.842058678055764,-3.342058678055764,-2.842058678055764,-2.342058678055764,-1.8420586780557642
FA*,Pt100,-3.0697326765657635,-7.0697326765657635,-6.0697326765657635,-5.0697326765657635,-4.0697326765657635,-3.0697326765657635,-2.0697326765657635,-1.0697326765657635
(FA+H)*,Pt100,-3.255198733691941,-9.255198733691941,-7.755198733691941,-6.255198733691941,-4.755198733691941,-3.255198733691941,-1.755198733691941,-0.255198733691941
(FA+2H)*,Pt100,-3.442259687137266,-11.442259687137266,-9.442259687137266,-7.442259687137266,-5.442259687137266,-3.442259687137266,-1.4422596871372662,0.5577403128627338
(FA+3H)*,Pt100,-3.867039599645068,-13.867039599645068,-11.367039599645068,-8.867039599645068,-6.367039599645068,-3.867039599645068,-1.367039599645068,1.132960400354932
THFA*,Pt100,-4.428885393404926,-16.428885393404926,-13.428885393404926,-10.428885393404926,-7.428885393404926,-4.428885393404926,-1.4288853934049257,1.5711146065950743
des,Pt100,-1.0740273908741074,-13.074027390874107,-10.074027390874107,-7.074027390874107,-4.074027390874107,-1.0740273908741074,1.9259726091258926,4.925972609125893
