State,Surface,Unbiased,-2.0V vs. RHE,-1.5V vs. RHE,-1.0V vs. RHE,-0.5V vs. RHE,0.0V vs. RHE,0.5V vs. RHE,1.0V vs. RHE
ref,Pt110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF*,Pt110,-2.848023660124454,-2.848023660124454,-2.848023660124454,-2.848023660124454,-2.848023660124454,-2.848023660124454,-2.848023660124454,-2.848023660124454
(FF+H)*,Pt110,-3.4736011807399336,-5.473601180739934,-4.973601180739934,-4.473601180739934,-3.9736011807399336,-3.4736011807399336,-2.9736011807399336,-2.4736011807399336
FA*,Pt110,-3.396448150393553,-7.396448150393553,-6.396448150393553,-5.396448150393553,-4.396448150393553,-3.396448150393553,-2.396448150393553,-1.396448150393553
(FA+H)*,Pt110,-3.9289167294773506,-9.92891672947735,-8.42891672947735,-6.928916729477351,-5.428916729477351,-3.9289167294773506,-2.4289167294773506,-0.9289167294773506
(FA+2H)*,Pt110,-4.093847232565167,-12.093847232565167,-10.093847232565167,-8.093847232565167,-6.093847232565167,-4.093847232565167,-2.0938472325651674,-0.09384723256516736
(FA+3H)*,Pt110,-4.176152207313862,-14.176152207313862,-11.676152207313862,-9.176152207313862,-6.676152207313862,-4.176152207313862,-1.6761522073138622,0.8238477926861378
THFA*,Pt110,-4.086043754563434,-16.086043754563434,-13.086043754563434,-10.086043754563434,-7.086043754563434,-4.086043754563434,-1.086043754563434,1.913956245436566
des,Pt110,-1.0740273908741074,-13.074027390874107,-10.074027390874107,-7.074027390874107,-4.074027390874107,-1.0740273908741074,1.9259726091258926,4.925972609125893
