State,Surface,Unbiased,-2.0V vs. RHE,-1.5V vs. RHE,-1.0V vs. RHE,-0.5V vs. RHE,0.0V vs. RHE,0.5V vs. RHE,1.0V vs. RHE
ref,Pt111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4PP*,Pt111,-4.23905031693721,-4.23905031693721,-4.23905031693721,-4.23905031693721,-4.23905031693721,-4.23905031693721,-4.23905031693721,-4.23905031693721
(4PP+H)*,Pt111,-4.140419093826495,-6.140419093826495,-5.640419093826495,-5.140419093826495,-4.640419093826495,-4.140419093826495,-3.6404190938264946,-3.1404190938264946
(4PP+2H)*,Pt111,-4.64947123121965,-8.64947123121965,-7.64947123121965,-6.64947123121965,-5.64947123121965,-4.64947123121965,-3.64947123121965,-2.64947123121965
(4PP+3H)*,Pt111,-5.183166936731141,-11.18316693673114,-9.68316693673114,-8.18316693673114,-6.683166936731141,-5.183166936731141,-3.6831669367311406,-2.1831669367311406
(4PP+4H)*,Pt111,-5.56424231157871,-13.56424231157871,-11.56424231157871,-9.56424231157871,-7.56424231157871,-5.56424231157871,-3.5642423115787096,-1.5642423115787096
(4PP+5H)*,Pt111,-5.622727228881558,-15.622727228881558,-13.122727228881558,-10.622727228881558,-8.122727228881558,-5.622727228881558,-3.1227272288815584,-0.6227272288815584
4PCOL*,Pt111,-6.271322715656424,-18.271322715656424,-15.271322715656424,-12.271322715656424,-9.271322715656424,-6.271322715656424,-3.2713227156564244,-0.2713227156564244
des,Pt111,-0.40559168734034756,-12.405591687340348,-9.405591687340348,-6.405591687340348,-3.4055916873403476,-0.40559168734034756,2.5944083126596524,5.594408312659652
