State,Surface,Unbiased,-2.0V vs. RHE,-1.5V vs. RHE,-1.0V vs. RHE,-0.5V vs. RHE,0.0V vs. RHE,0.5V vs. RHE,1.0V vs. RHE
ref,Pt100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4PP*,Pt100,-5.222007073913119,-5.222007073913119,-5.222007073913119,-5.222007073913119,-5.222007073913119,-5.222007073913119,-5.222007073913119,-5.222007073913119
(4PP+H)*,Pt100,-5.331162114882318,-7.331162114882318,-6.831162114882318,-6.331162114882318,-5.831162114882318,-5.331162114882318,-4.831162114882318,-4.331162114882318
(4PP+2H)*,Pt100,-5.18839342371939,-9.18839342371939,-8.18839342371939,-7.18839342371939,-6.18839342371939,-5.18839342371939,-4.18839342371939,-3.18839342371939
(4PP+3H)*,Pt100,-5.639333469436679,-11.639333469436679,-10.139333469436679,-8.639333469436679,-7.139333469436679,-5.639333469436679,-4.139333469436679,-2.6393334694366786
(4PP+4H)*,Pt100,-5.7389272836298915,-13.738927283629891,-11.738927283629891,-9.738927283629891,-7.7389272836298915,-5.7389272836298915,-3.7389272836298915,-1.7389272836298915
(4PP+5H)*,Pt100,-5.736569620908995,-15.736569620908995,-13.236569620908995,-10.736569620908995,-8.236569620908995,-5.736569620908995,-3.2365696209089947,-0.7365696209089947
4PCOL*,Pt100,-6.448582849858212,-18.448582849858212,-15.448582849858212,-12.448582849858212,-9.448582849858212,-6.448582849858212,-3.4485828498582123,-0.4485828498582123
des,Pt100,-0.40559168734034756,-12.405591687340348,-9.405591687340348,-6.405591687340348,-3.4055916873403476,-0.40559168734034756,2.5944083126596524,5.594408312659652
