State,Surface,Unbiased,-2.0V vs. RHE,-1.5V vs. RHE,-1.0V vs. RHE,-0.5V vs. RHE,0.0V vs. RHE,0.5V vs. RHE,1.0V vs. RHE
ref,Ru0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4PP*,Ru0001,-2.861828176799463,-2.861828176799463,-2.861828176799463,-2.861828176799463,-2.861828176799463,-2.861828176799463,-2.861828176799463,-2.861828176799463
(4PP+H)*,Ru0001,-2.901584154489683,-4.901584154489683,-4.401584154489683,-3.901584154489683,-3.401584154489683,-2.901584154489683,-2.401584154489683,-1.901584154489683
(4PP+2H)*,Ru0001,-2.9084944433998317,-6.908494443399832,-5.908494443399832,-4.908494443399832,-3.9084944433998317,-2.9084944433998317,-1.9084944433998317,-0.9084944433998317
(4PP+3H)*,Ru0001,-2.6599265761324205,-8.65992657613242,-7.1599265761324205,-5.6599265761324205,-4.1599265761324205,-2.6599265761324205,-1.1599265761324205,0.34007342386757955
(4PP+4H)*,Ru0001,-3.7290198897826485,-11.729019889782649,-9.729019889782649,-7.7290198897826485,-5.7290198897826485,-3.7290198897826485,-1.7290198897826485,0.27098011021735147
(4PP+5H)*,Ru0001,-4.188546978344675,-14.188546978344675,-11.688546978344675,-9.188546978344675,-6.688546978344675,-4.188546978344675,-1.6885469783446752,0.8114530216553248
4PCOL*,Ru0001,-6.153490232565673,-20.153490232565673,-16.653490232565673,-13.153490232565673,-9.653490232565673,-6.153490232565673,-2.653490232565673,0.8465097674343269
des,Ru0001,-1.83630603623169,-15.83630603623169,-12.33630603623169,-8.83630603623169,-5.33630603623169,-1.83630603623169,1.66369396376831,5.16369396376831
