State,Surface,Unbiased,-2.0V vs. RHE,-1.5V vs. RHE,-1.0V vs. RHE,-0.5V vs. RHE,0.0V vs. RHE,0.5V vs. RHE,1.0V vs. RHE
ref,Pt111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF*,Pt111,-1.433988440738176,-1.433988440738176,-1.433988440738176,-1.433988440738176,-1.433988440738176,-1.433988440738176,-1.433988440738176,-1.433988440738176
(FF+H)*,Pt111,-2.025511734347674,-4.025511734347674,-3.525511734347674,-3.025511734347674,-2.525511734347674,-2.025511734347674,-1.525511734347674,-1.025511734347674
FA*,Pt111,-2.6013576562836533,-6.601357656283653,-5.601357656283653,-4.601357656283653,-3.6013576562836533,-2.6013576562836533,-1.6013576562836533,-0.6013576562836533
(FA+H)*,Pt111,-2.766501897443959,-8.766501897443959,-7.266501897443959,-5.766501897443959,-4.266501897443959,-2.766501897443959,-1.266501897443959,0.23349810255604098
(FA+2H)*,Pt111,-2.9074727781408,-10.9074727781408,-8.9074727781408,-6.9074727781408,-4.9074727781408,-2.9074727781408,-0.9074727781408001,1.0925272218592
(FA+3H)*,Pt111,-3.4327430864505004,-13.4327430864505,-10.9327430864505,-8.4327430864505,-5.9327430864505,-3.4327430864505004,-0.9327430864505004,1.5672569135494996
THFA*,Pt111,-4.055674433191598,-16.055674433191598,-13.055674433191598,-10.055674433191598,-7.055674433191598,-4.055674433191598,-1.055674433191598,1.944325566808402
des,Pt111,-1.0740273908741074,-13.074027390874107,-10.074027390874107,-7.074027390874107,-4.074027390874107,-1.0740273908741074,1.9259726091258926,4.925972609125893
