State,Surface,Unbiased,-2.0V vs. RHE,-1.5V vs. RHE,-1.0V vs. RHE,-0.5V vs. RHE,0.0V vs. RHE,0.5V vs. RHE,1.0V vs. RHE
ref,Ru0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF*,Ru0001,-0.7906991391791962,-0.7906991391791962,-0.7906991391791962,-0.7906991391791962,-0.7906991391791962,-0.7906991391791962,-0.7906991391791962,-0.7906991391791962
(FF+H)*,Ru0001,-0.6786815069353906,-2.6786815069353906,-2.1786815069353906,-1.6786815069353906,-1.1786815069353906,-0.6786815069353906,-0.17868150693539064,0.32131849306460936
FA*,Ru0001,-1.0434906063892413,-5.043490606389241,-4.043490606389241,-3.0434906063892413,-2.0434906063892413,-1.0434906063892413,-0.04349060638924129,0.9565093936107587
(FA+H)*,Ru0001,-1.2769209960388253,-7.276920996038825,-5.776920996038825,-4.276920996038825,-2.7769209960388253,-1.2769209960388253,0.22307900396117475,1.7230790039611747
(FA+2H)*,Ru0001,-1.5473119897505967,-9.547311989750597,-7.547311989750597,-5.547311989750597,-3.5473119897505967,-1.5473119897505967,0.4526880102494033,2.4526880102494033
(FA+3H)*,Ru0001,-1.86954462005815,-11.86954462005815,-9.36954462005815,-6.86954462005815,-4.36954462005815,-1.86954462005815,0.63045537994185,3.13045537994185
THFA*,Ru0001,-2.91408811751171,-14.91408811751171,-11.91408811751171,-8.91408811751171,-5.91408811751171,-2.91408811751171,0.08591188248828985,3.08591188248829
des,Ru0001,-1.0740273908595555,-13.074027390859555,-10.074027390859555,-7.0740273908595555,-4.0740273908595555,-1.0740273908595555,1.9259726091404445,4.9259726091404445
